index,special token
680,필리우스 플리트윅
681,필리우스 플리트윅 교수님
682,필요의 방
683,필요의방
684,해그리드
685,해그리드 교수
686,해그리드 교수님
687,해그리드교수
688,해그리드교수님
689,해그리드의 오두막
690,해독제 연구
691,해리
692,해리 포터
693,해리포터
694,핼가 후풀푸프
695,핼가 후플푸푸
696,핼가 후플푸프
697,허니듀크
698,허마이니
699,헐마이니
700,헤그리드
701,헤르미온느
702,헤르미온느 그레인저
703,헤르미온느그레인저
704,헬가 후플푸프
705,헬가후플푸프
706,호그
707,호그 스미드
708,호그스 미드
709,호그스미드
710,호그와트
711,호그와트 3층
712,호그와트 4층
713,호그와트 5층
714,호그와트 6층
715,호그와트 7층
716,호그와트 교감님
717,호그와트 연회장
718,호그와트 전투
719,호그와트 탑
720,호그와트연회장
721,호메눈 리벨리오
722,혼혈
723,황금 알
724,황금알
725,후려치는 버드나무
726,후려치는 버들나무
727,후려치는버드나무
728,후려치는버들나무
729,후치
730,후풀푸프
731,후풀프프
732,후플푸푸
733,후플푸프
734,후플푸프 사감
735,후플푸프 지하실
736,후플프푸
737,후플후후
738,휴게실 벽난로
739,휴게실의 벽난로
740,흐플푸프
741,히포그리프
742,Acceptable
743,Dreadful
744,Exceeds Expectaions
745,N.E.W.T.
746,Nastily Exhausting Wizarding Test
747,newt
748,O W L
749,O.W.L
750,O.W.L.
751,Ordinary Wizarding Level
752,Outstanding
753,OWL
754,Poor
755,Troll
